code,product_name,brands,categories,nova_group,nutriscore_grade,url
8901060000000,GoodDay Choco Chip,Britannia,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Chocolate biscuits",4,unknown,http://world-en.openfoodfacts.org/product/8901063004122/goodday-choco-chip-britannia
8901060000000,Jim Jam,Britannia,"Flavoured sandwich Biscuits, en:biscuits",4,e,http://world-en.openfoodfacts.org/product/8901063029217/jim-jam-britannia
8901060000000,Jimjam,Britannia,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits",4,e,http://world-en.openfoodfacts.org/product/8901063029279/jimjam-britannia
8901060000000,Jimjam 460g,Britannia,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits",4,e,http://world-en.openfoodfacts.org/product/8901063029286/jimjam-460g-britannia
8901060000000,Jimjam 57g (57),Britannia,Biscuits,4,unknown,http://world-en.openfoodfacts.org/product/8901063029255/jimjam-57g-57-britannia
8901060000000,Jimjam Pops,Britannia,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Biscuits/Cookies (Shelf Stable), Cream biscuit",4,e,http://world-en.openfoodfacts.org/product/8901063029309/jimjam-pops-britannia
8901060000000,Jimjam pops,Britannia,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits",4,e,http://world-en.openfoodfacts.org/product/8901063029316/jimjam-pops-britannia
8901060000000,Little Hearts Classic,Britannia,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Sugar coated biscuit",4,e,http://world-en.openfoodfacts.org/product/8901063019027/little-hearts-classic-britannia
8901060000000,Marie Gold,Britannia,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,Snack biscuit with fruits filling",4,e,http://world-en.openfoodfacts.org/product/8901063023901/marie-gold-britannia
8901060000000,Marie Gold,Britannia,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits",4,e,http://world-en.openfoodfacts.org/product/8901063162600/marie-gold-britannia
8901060000000,Marie gold,Britannia,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits",4,e,http://world-en.openfoodfacts.org/product/8901063162426/marie-gold-britannia
8901060000000,Marie gold 5*117g (4),Britannia,en:biscuits,4,e,http://world-en.openfoodfacts.org/product/8901063162525/marie-gold-5-117g-4-britannia
8901060000000,Milk Bikis,Britannia,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits",4,e,http://world-en.openfoodfacts.org/product/8901063012530/milk-bikis-britannia
8901060000000,Milk Bikis,Britannia,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits",4,d,http://world-en.openfoodfacts.org/product/8901063012608/milk-bikis-britannia
8901060000000,Milk Bikis,Britannia,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits",4,e,http://world-en.openfoodfacts.org/product/8901063012622/milk-bikis-britannia
8901060000000,Milk Bikis,Britannia,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits",4,e,http://world-en.openfoodfacts.org/product/8901063012660/milk-bikis-britannia
