products__code,products__brands,products__product_name,products__nova_group,products__nutriscore_grade,products__energy-kcal_100g,products__fat_100g,products__saturated-fat_100g,products__salt_100g,products__sugars_100g,products__added-sugars_100g,OFF_url
8901063142466,Britannia,Nutri Choice Digestive,4,unknown,497,21,10.2,,14.4,,https://in.openfoodfacts.org/product/8901063142466
8901262220552,Amul,Chocolate Cookies,4,e,479,24.8,15.9,0.625,29.1,,https://in.openfoodfacts.org/product/8901262220552
8901725114961,Sunfeast,Marie Light,4,d,445,11,5.6,0.731,21.3,21.1,https://in.openfoodfacts.org/product/8901725114961
8906076132107,The Bakers Dozen,Cookies,3,unknown,,,,,,,https://in.openfoodfacts.org/product/8906076132107
8901063164291,Britannia,Tiger biscuit,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901063164291
8902268010857,Anmol,Yummy,,d,474.97,16.89,8.81,0.53535,29.6,,https://in.openfoodfacts.org/product/8902268010857
8901063012608,Britannia,Milk Bikis,4,d,454,14,6,0.006,27,,https://in.openfoodfacts.org/product/8901063012608
8901063016880,Britannia,50 50,4,e,487,19,9,0.8,19.5,,https://in.openfoodfacts.org/product/8901063016880
8901725007652,Sunfeast,Mom's Magic,4,e,504,23.3,11.3,0.43,22.2,,https://in.openfoodfacts.org/product/8901725007652
8901725002206,Sunfeast Farmlite,5-Grain Digestive High Fibre,4,e,467,20,8.3,1.68625,21,19.2,https://in.openfoodfacts.org/product/8901725002206
8906009078670,Unibic,Unibic Frunit and Nut cookies,4,e,458,20,9,0.5225,25,,https://in.openfoodfacts.org/product/8906009078670
8901063012530,Britannia,Milk Bikis,4,e,459,13.5,6.5,0.76,26.4,,https://in.openfoodfacts.org/product/8901063012530
7622201756789,Oreo,Oreo Strawberry Biscuit,4,e,483,19.7,9.8,1.05,38.3,,https://in.openfoodfacts.org/product/7622201756789
7622201432263,Cadbury,Oreo Cricket Edition,,e,599,19.7,9.8,1.05,38,37.9,https://in.openfoodfacts.org/product/7622201432263
7610827760259,Fine Food,Cantucci Toscani - Fine food,4,d,471,18,3.5,0.775,24,,https://in.openfoodfacts.org/product/7610827760259
8901063136434,Britannia,Milk Bikis,,e,428.57,14.29,7.14,0.76,25,,https://in.openfoodfacts.org/product/8901063136434
7622201432249,Cadbury,Oreo chocolatey sandwich biscuits,,unknown,483,19.7,9.8,1.05,38,,https://in.openfoodfacts.org/product/7622201432249
7622201431594,Cadbury,Oreo Cream Biscuit,4,e,483,19.7,9.8,1.05,38,,https://in.openfoodfacts.org/product/7622201431594
8901063004207,Britannia,Britannia Good Day Chocochip Cookies,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901063004207
8901719120992,Parle,Parle Monaco biscuits,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901719120992
8906009078847,Unibic,Unibic Choco ripple biscuit,,unknown,,,,,,,https://in.openfoodfacts.org/product/8906009078847
8906032018506,Patanjali,Doodh Biscuits,4,d,468,17,8.3,0.87,24,22,https://in.openfoodfacts.org/product/8906032018506
8906009803777,Dukes,Waffy - choco flavoured wafer roll,4,unknown,450,14.55,6.73,,47.1,,https://in.openfoodfacts.org/product/8906009803777
8901719115400,parle,Milano,4,d,518,25.8,0,0.48,31.5,,https://in.openfoodfacts.org/product/8901719115400
8901063163287,Britannia,Tiger glucose biscuits,,d,457,13.4,6.5,0.317,24.1,,https://in.openfoodfacts.org/product/8901063163287
7622201098971,Cadbury,Chocobakes,4,e,501,24.5,11.6,0.4875,39.7,,https://in.openfoodfacts.org/product/7622201098971
8901063162365,Britania,Marie Gold,,unknown,453,,,,,,https://in.openfoodfacts.org/product/8901063162365
7622201442071,Cadbury,Chocobakes Choc layered Cakes,4,e,465,21.9,14.1,0.56,41.1,,https://in.openfoodfacts.org/product/7622201442071
8901725133979,Sunfeast,"Sunfeast Dark Fantasy Bourbon, Classic Biscuit",4,unknown,,,,,,,https://in.openfoodfacts.org/product/8901725133979
8901123005380,Lotte,Lotte Choco Pie,4,e,441,17,12,0.535,34,25,https://in.openfoodfacts.org/product/8901123005380
8901063017481,Britannia,50-50 Maska Chaska,4,e,502,26,13,2.705,10,7.5,https://in.openfoodfacts.org/product/8901063017481
8901725116071,Sunfeast,All Rounder,4,d,471,19.5,9.6,0,15.4,,https://in.openfoodfacts.org/product/8901725116071
8906032341093,Milk Ma,Butter cookies,,b,362,16,0,0.5175,1.14,,https://in.openfoodfacts.org/product/8906032341093
8906032341086,Milk Ma,Cashew biscuits,4,b,362,16,0,0.5175,1.14,,https://in.openfoodfacts.org/product/8906032341086
8908002026467,BTW,Jeera Special,4,e,494,28.08,13.47,0.8945118,7.8,,https://in.openfoodfacts.org/product/8908002026467
8901719100956,Parle-G,Parle G,,d,454,13,6,0,25,,https://in.openfoodfacts.org/product/8901719100956
8906009077277,Unibic,Butter cookies,4,d,505,24,15.4,0,0,,https://in.openfoodfacts.org/product/8906009077277
8901725113520,Sunfeast,Glucose Biscuits,4,unknown,449,12.9,6.1,,29.2,,https://in.openfoodfacts.org/product/8901725113520
8901719117251,Parle,Rusk Real Premium Elaichi,4,unknown,,9.1,,,25.1,,https://in.openfoodfacts.org/product/8901719117251
8901719101311,Parle,Magix,4,unknown,477,17.6,1.3728,,25.8,,https://in.openfoodfacts.org/product/8901719101311
8901725134310,Sunfeast,"Sunfeast Nice, 75 g",4,unknown,,,,,,,https://in.openfoodfacts.org/product/8901725134310
8901719117312,Parle,Parle-G Original Gluco Biscuits,4,d,454,13,6,0.75184,25.5,,https://in.openfoodfacts.org/product/8901719117312
9908463001088,BRITANNIA,Nutri Choice,,unknown,,,,,,,https://in.openfoodfacts.org/product/9908463001088
8901063162297,Britannia Industries Ltd,marie gold,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901063162297
8906033740758,McVitie's,McVitie's Digestive,,e,489,21.2,10.7,0,16.1,,https://in.openfoodfacts.org/product/8906033740758
8901719105913,PARLE,Hide & Seek,4,e,479,18,9.4,0,32.2,,https://in.openfoodfacts.org/product/8901719105913
8906043901620,Bliss Chocolates India Pvt. Ltd.,Vanilla Muffin Small,4,d,386,20.2,13.4,0,26.37,,https://in.openfoodfacts.org/product/8906043901620
8904109410093,Patanjali,Patanjali cream feast ( milk vanilla ),4,unknown,,25,12,,34,,https://in.openfoodfacts.org/product/8904109410093
8901063139206,Britannia,Bourbon,4,e,488,20,10,0,37.5,,https://in.openfoodfacts.org/product/8901063139206
8908003115979,karachi bakery,karachi's cashew biscuits,3,unknown,,,,,,,https://in.openfoodfacts.org/product/8908003115979
8906029790033,Priyagold,Snakker,4,e,480,21.9,20,0.30988,51,,https://in.openfoodfacts.org/product/8906029790033
8904065212540,Milka Wonder Cake,Orange Cake,4,e,423.13,19.17,12.16,0.56134,24.87,,https://in.openfoodfacts.org/product/8904065212540
8902268003972,Anmol,Yummy Elaichi Flavoured Sandwich,4,unknown,484.5,17.98,9.34,,23.44,,https://in.openfoodfacts.org/product/8902268003972
8902268002326,Anmol,Dream LITE,4,unknown,502,24,11.5,,8,,https://in.openfoodfacts.org/product/8902268002326
8902268002753,Anmol,Yummy Orange Flavoured Sandwich,4,unknown,480,17.63,10.17,,24.08,,https://in.openfoodfacts.org/product/8902268002753
8901725134723,Sunfeast,Bounce Choco Twist,4,unknown,467,15.9,7.8,,36.9,,https://in.openfoodfacts.org/product/8901725134723
8901719103520,"Parle,Monaco",Cheeselings - Classic,4,unknown,489,20,9.5,,3.3,,https://in.openfoodfacts.org/product/8901719103520
8901233030272,Cadbury,Perk,4,e,517,25.8,23.4,0.23368,45.9,,https://in.openfoodfacts.org/product/8901233030272
8901063004122,Britannia,GoodDay Choco Chip,4,unknown,493,21,7.5,,30,,https://in.openfoodfacts.org/product/8901063004122
831730007065,Pran,Dry Cake,3,c,420,21,1,0.0125,25,,https://in.openfoodfacts.org/product/831730007065
